Alanis_Morissette	nationality	Canada	o
Alanis_Morissette	nationality	United_Kingdom	x
Alanis_Morissette	nationality	Italy	x
Alanis_Morissette	nationality	Nigeria	x
Albert_Einstein	nationality	Germany	o
Albert_Einstein	nationality	Scotland	x
Albert_Einstein	nationality	Venezuela	x
Albert_Einstein	nationality	Iran	x
Alfred_Hitchcock	nationality	United_Kingdom	o
Alfred_Hitchcock	nationality	Sri_Lanka	x
Alfred_Hitchcock	nationality	Italy	x
Alfred_Hitchcock	nationality	Germany	x
Amanda_Lear	nationality	France	o
Amanda_Lear	nationality	Switzerland	x
Amanda_Lear	nationality	Austria	x
Amanda_Lear	nationality	Indonesia	x
Angelina_Jolie	nationality	United_States	o
Angelina_Jolie	nationality	Nigeria	x
Angelina_Jolie	nationality	Turkey	x
Angelina_Jolie	nationality	Austria	x
Anggun	nationality	France	o
Anggun	nationality	Turkey	x
Anggun	nationality	Germany	x
Anggun	nationality	Sri_Lanka	x
Anthony_Hopkins	nationality	United_Kingdom	o
Anthony_Hopkins	nationality	Austria	x
Anthony_Hopkins	nationality	Soviet_Union	x
Anthony_Hopkins	nationality	India	x
Arnold_Schwarzenegger	nationality	United_States	o
Arnold_Schwarzenegger	nationality	Nigeria	x
Arnold_Schwarzenegger	nationality	Germany	x
Arnold_Schwarzenegger	nationality	Turkey	x
Basil_Rathbone	nationality	United_Kingdom	o
Basil_Rathbone	nationality	Turkey	x
Basil_Rathbone	nationality	Sri_Lanka	x
Basil_Rathbone	nationality	Iran	x
Boris_Johnson	nationality	United_Kingdom	o
Boris_Johnson	nationality	Soviet_Union	x
Boris_Johnson	nationality	Bosnia_and_Herzegovina	x
Boris_Johnson	nationality	South_Africa	x
Carla_Bruni	nationality	France	o
Carla_Bruni	nationality	Venezuela	x
Carla_Bruni	nationality	Sri_Lanka	x
Carla_Bruni	nationality	Indonesia	x
Christopher_Nolan	nationality	United_Kingdom	o
Christopher_Nolan	nationality	Cameroon	x
Christopher_Nolan	nationality	Italy	x
Christopher_Nolan	nationality	Nigeria	x
Doris_Lessing	nationality	United_Kingdom	o
Doris_Lessing	nationality	Cameroon	x
Doris_Lessing	nationality	France	x
Doris_Lessing	nationality	Indonesia	x
Dwayne_Johnson	nationality	United_States	o
Dwayne_Johnson	nationality	Soviet_Union	x
Dwayne_Johnson	nationality	Italy	x
Dwayne_Johnson	nationality	Bosnia_and_Herzegovina	x
Elton_John	nationality	England	o
Elton_John	nationality	Hungary	x
Elton_John	nationality	Germany	x
Elton_John	nationality	Australia	x
Errol_Flynn	nationality	United_States	o
Errol_Flynn	nationality	Austria	x
Errol_Flynn	nationality	Venezuela	x
Errol_Flynn	nationality	Indonesia	x
Frank_Gehry	nationality	Canada	o
Frank_Gehry	nationality	Germany	x
Frank_Gehry	nationality	Soviet_Union	x
Frank_Gehry	nationality	Iran	x
Frederick_Loewe	nationality	United_States	o
Frederick_Loewe	nationality	Bosnia_and_Herzegovina	x
Frederick_Loewe	nationality	Canada	x
Frederick_Loewe	nationality	Switzerland	x
Friedrich_Hayek	nationality	Austria	o
Friedrich_Hayek	nationality	Bosnia_and_Herzegovina	x
Friedrich_Hayek	nationality	Russia	x
Friedrich_Hayek	nationality	England	x
George_Bernard_Shaw	nationality	Republic_of_Ireland	o
George_Bernard_Shaw	nationality	Russia	x
George_Bernard_Shaw	nationality	Cameroon	x
George_Bernard_Shaw	nationality	South_Africa	x
George_VI	nationality	United_Kingdom	o
George_VI	nationality	Republic_of_Ireland	x
George_VI	nationality	United_States	x
George_VI	nationality	Australia	x
H._L._Mencken	nationality	United_States	o
H._L._Mencken	nationality	Australia	x
H._L._Mencken	nationality	South_Africa	x
H._L._Mencken	nationality	Turkey	x
Huey_Long	nationality	United_States	o
Huey_Long	nationality	Bosnia_and_Herzegovina	x
Huey_Long	nationality	Russia	x
Huey_Long	nationality	Scotland	x
Jean_Alesi	nationality	France	o
Jean_Alesi	nationality	Scotland	x
Jean_Alesi	nationality	Cameroon	x
Jean_Alesi	nationality	Soviet_Union	x
John_Kemeny_(film_producer)	nationality	Canada	o
John_Kemeny_(film_producer)	nationality	France	x
John_Kemeny_(film_producer)	nationality	China	x
John_Kemeny_(film_producer)	nationality	England	x
Jonathan_Swift	nationality	Republic_of_Ireland	o
Jonathan_Swift	nationality	Canada	x
Jonathan_Swift	nationality	Cameroon	x
Jonathan_Swift	nationality	Italy	x
Kevin_Cheng	nationality	China	o
Kevin_Cheng	nationality	South_Africa	x
Kevin_Cheng	nationality	Hong_Kong	x
Kevin_Cheng	nationality	Russia	x
L._Frank_Baum	nationality	United_States	o
L._Frank_Baum	nationality	Canada	x
L._Frank_Baum	nationality	Republic_of_Ireland	x
L._Frank_Baum	nationality	Cameroon	x
Ladislaus_Vajda	nationality	Hungary	o
Ladislaus_Vajda	nationality	India	x
Ladislaus_Vajda	nationality	Switzerland	x
Ladislaus_Vajda	nationality	Republic_of_Ireland	x
Leslie_Cheung	nationality	Hong_Kong	o
Leslie_Cheung	nationality	Australia	x
